platform,"['Pramp', 'Legion Analytics', 'Luminist', 'Message.io', 'MineralSoft', 'OSVehicle', 'Perlara', 'PhysioHealth', 'WorldCover', 'iSono Health', 'mRelief', 'msg.ai', 'Give Campus', 'Livecoding.tv', 'OnboardIQ', 'SourceDNA', 'BillForward', 'One Codex', 'Roomstorm', 'Next Caller', 'Taplytics', 'Asseta', 'Bitnami', 'Experiment', 'Prizeo', 'Watsi', '9GAG', 'Airbrite', 'Canopy Labs', 'FlightFox', 'Plivo', 'Submittable', 'Virool', 'chute', 'DoubleRecall', 'Meteor', 'MobileWorks', 'PageLever', 'Sift Science', 'Tagstand', 'Vidyard', 'Chirply', 'Dr Chrono', 'Earbits', 'Hyperink', 'YouGotListings', 'AeroFS', 'Chart.io', 'Docker', 'Embedly', 'WePay', 'Frogmetrics', 'Insoshi', 'Joberator', 'InklingMarkets']"
marketplace,"['Cerplus', 'Kisan Network', 'LendEDU', 'Outschool', 'Stealth Worker', 'Branch8', 'Direct Match', 'KickPay', 'AptDeco', 'Boostable', 'Goldbely', 'Sponsorfied', 'Vayable', 'Science Exchange', 'CarWoo', 'AirBnb', 'Foodoro', 'InklingMarkets']"
on-demand,"['Castle', 'AirPair', 'Cambly']"
data,"['Pawprint', 'VQL', 'Birdly', 'Elucify', 'Index', 'Pave', 'Zenysis', 'Leada', 'Second Measure', 'Verge Genomics', 'CloudMedX', 'DroneBase', 'Kuhcoon', 'Pachyderm', 'Pomello', 'TaskPipes', 'Valor Water Analytics', 'Yhat', 'Bayes Impact', 'Flynn', 'Nightingale', 'One Codex', 'TicketLabs', '42', 'TrueVault', 'Panorama Education', 'Fivetran', 'Semantics3', 'Zapier', 'Citus Data', 'Comprehend Systems', 'MemSQL', 'AeroFS', 'Chart.io', 'Leftronic', 'DirectedEdge', 'Frogmetrics', 'FathomDB', 'Cloudant', 'Songkick', 'Clustrix']"
virtual reality,"['Ilium VR', 'Queen B Robotics', 'InsiteVR']"
robots,"['Gecko Robotics', 'Bistrobot']"
diagnostics,[]
payments,"['Paystack', 'Truebill', 'Tesorio', 'Razorpay', 'Swish', 'Submittable', 'Stripe', 'WePay']"
automated,"['Captain 401', 'Ironclad', 'Kuhcoon', 'Transcriptic']"
chatbot,"['Chatfuel', 'Message.io']"
analytics,"['Deepgram', 'GitPrime', 'Mux', 'Skymind', 'Piinpoint', 'Panorama Education', 'PageLever', 'Segment', 'Mixpanel']"
health,"['SmartSite', 'CareSkore', 'PhysioHealth', 'Bodyport', 'Klarismo', 'CareMessage', 'Noora Health', 'TrueVault', 'Zesty', 'CrowdMed', 'Medisas', 'SimplyInsured']"
labs,['OpenTrons']
mission,"['Compgun', 'Petcube', 'Bonfire', 'Rigetti Computing', 'UPower', 'Heap Analytics', 'Submittable', 'EveryArt', 'LendUp', 'CO2Stats']"
app,"['ConstructVR', 'Instabug', 'Mindori', 'QueueHop', 'Rappi', 'SendBird', 'Thunkable', 'UpLabs', 'Wakie', 'AppCanary', 'Breakout Room', 'Cloudstitch', 'Convox', 'Plate Joy', 'Smyte', 'SourceDNA', 'TenantTurner', 'Zeplin', 'GroupAhead', 'Moltin', 'Notable Labs', 'Outbound', 'Pomello', 'Shift Messenger', 'Slidemail', 'Spoil', 'Treeline', 'WorkLife', 'Flynn', 'Helion Energy', 'One Codex', 'Algolia', 'Sendwithus', 'TrueVault', 'Two Tap', 'EasyPost', 'Estimote', 'Lob', 'One Month', 'StatusPage', 'Watchsend', 'Bitnami', 'Heap Analytics', 'Lollipuff', 'StyleUp', 'Authy', 'Canopy Labs', 'Clever', 'Filepicker.io', 'Lever', 'Parallel Universe', 'Virool', 'Zapier', 'FarmLogs', 'Per Vices', 'Sonalight', 'Swiftype', 'chute', 'AgileDiagnosis', 'Meteor', 'Streak.com', 'Zigfu', 'Custora', 'Hyperink', 'Kaleidoscope', 'Brushes', 'Leftronic', 'Mixpanel', 'Adioso', 'Heyzap', 'Addmired', 'YumDots', 'Bountii', 'Tsumobi']"
best,"['Afrostream', 'Instawork', 'VIVE', 'Willing', 'Gradberry', 'Instavest', 'Labdoor', 'Luka', 'Flynn', 'HauteDay', 'Lawn Love', 'ProductHunt', 'Camperoo', 'Minuum', 'Piinpoint', 'Zinc', 'Casetext', 'StatusPage', 'Goldbely', 'Svbtle', 'Newsblur', 'Tracks.by', 'Opez', 'ZeroCater', 'AnyList', 'PollEverywhere', 'Startuply', 'Bountii']"
developers,"['Mux', 'SendBird', 'UpLabs', 'Heroic Labs', 'SourceDNA', 'Algolia', 'CodeNow', 'EasyPost', 'Fullstack Academy', 'Coderwall', 'Per Vices', 'MobileWorks', 'Segment']"
build,"['Acre Designs', 'Focal Systems', 'Hingeto', 'Hykso', 'Mindori', 'OpenTrons', 'SendBird', 'Skymind', 'Stealth Worker', 'UpLabs', 'Zenysis', 'msg.ai', 'InnerSpace', 'Mimir', 'Triplebyte', 'Vest', 'Moltin', 'Raven Tech', 'ShiftLabs', 'Vertical', 'Rigetti Computing', 'One Month', 'CircuitLab', 'BoostedBoards', 'Canopy Labs', 'Healthy Labs', 'Plivo', 'Swiftype', 'Meteor', 'Upverter']"
new,"['MagicBus', 'Instant eSports', 'Scentbird', 'Traversal Networks', 'Triplebyte', 'teaBOT', 'Booktrope', 'Priime', 'Transitmix', 'Zenflow', 'HauteDay', 'ProductHunt', 'Gbatteries', 'StackLead', 'Svbtle', 'LightTable', 'Survata', 'Tracks.by', 'Ark', 'Dealupa', 'Verbling', 'Giftrocket', 'OwnLocal', 'Zenedy', 'CarWoo', 'TheSixtyOne', 'Addmired']"
free,"['Pramp', 'The Flex Company', 'Clearbanc', 'Bonsai', 'Elucify', 'Konsus', 'CareLedger', 'Paribus', 'Willing', 'Xendit', 'Carlypso', 'UPower', 'Immunity Project', 'Sendwithus', 'Lawdingo', 'Diaspora', 'TomoGuides', 'MineFold', 'Vimessa', 'The Recurse Center', 'Listia', 'Anyvite']"
open,"['MailTime', 'SHRI', 'SIRUM', 'Meteor', 'Insoshi']"
the world,"['Branch8', 'Shotput', 'Diassess', 'Instavest', 'Spoil', 'Rigetti Computing', 'Next Caller', 'Taplytics', 'CrowdMed', 'BoostedBoards', 'Double Robotics', 'LeanMarket', 'iCracked', 'Vimessa', 'Kaleidoscope', 'AirBnb', 'Startuply']"
drones,[]
blockchain,['TradeBlock']
biology,"['20n', 'Industrial Microbes', 'Transcriptic', 'Ginko Bioworks']"
mobile,"['Deako', 'Instabug', 'MailTime', 'Mason America', 'QueueHop', 'SendBird', 'Thunkable', 'Breakout Room', 'GroupAhead', 'Outbound', 'WorkLife', 'Roost', 'Taplytics', 'ZowPow', 'Strikingly', 'Swish', 'Airbrite', 'Filepicker.io', 'Mth Sense', 'Virool', 'DoubleRecall', 'Mixpanel', 'AirBnb', 'Heyzap', 'PollEverywhere', 'Addmired', 'YumDots', 'Tsumobi']"
online,"['DNAsimple', 'Goodybag', 'Podium', 'Sharethebus', 'Chaldal', 'Paribus', 'RedCarpetUp', 'Willing', 'Xfers', 'Techlist', 'Zidisha', 'CrowdMed', 'Goldbely', 'Lawdingo', 'Lollipuff', 'Watsi', '9GAG', 'Diaspora', 'FundersClub', 'MyVR', 'Sponsorfied', 'Vayable', 'Crowdtilt', 'Shoptiques', 'DoubleRecall', 'Quartzy', 'Science Exchange', 'SellStage', 'Vidyard', 'Curebit', 'Custora', 'HelloFax', 'Humble Bundle', 'Tutorspree', 'YouGotListings', 'Crowdbooster', 'ReadyForZero', 'Stripe', 'OwnLocal', 'CarWoo', 'Jobspice', 'WePay', 'AirBnb', 'Ididwork', 'Justin.tv', 'Songkick', 'ClickFacts']"
video,"['Pluot Communications', 'New Story Charity', 'Shred Video', 'DroneBase', 'Kickback', 'AirPair', 'Knowmia', 'QuicklyChat', 'ReelSurfer', 'Tracks.by', 'Virool', 'HireArt', 'SellStage', 'Verbling', 'Vidyard', 'Vimessa', 'Justin.tv']"
social network,"['Amicus', 'Addmired']"
platform,"['Pramp', 'Legion Analytics', 'Luminist', 'Message.io', 'MineralSoft', 'OSVehicle', 'Perlara', 'PhysioHealth', 'WorldCover', 'iSono Health', 'mRelief', 'msg.ai', 'Give Campus', 'Livecoding.tv', 'OnboardIQ', 'SourceDNA', 'BillForward', 'One Codex', 'Roomstorm', 'Next Caller', 'Taplytics', 'Asseta', 'Bitnami', 'Experiment', 'Prizeo', 'Watsi', '9GAG', 'Airbrite', 'Canopy Labs', 'FlightFox', 'Plivo', 'Submittable', 'Virool', 'chute', 'DoubleRecall', 'Meteor', 'MobileWorks', 'PageLever', 'Sift Science', 'Tagstand', 'Vidyard', 'Chirply', 'Dr Chrono', 'Earbits', 'Hyperink', 'YouGotListings', 'AeroFS', 'Chart.io', 'Docker', 'Embedly', 'WePay', 'Frogmetrics', 'Insoshi', 'Joberator', 'InklingMarkets']"
marketplace,"['Cerplus', 'Kisan Network', 'LendEDU', 'Outschool', 'Stealth Worker', 'Branch8', 'Direct Match', 'KickPay', 'AptDeco', 'Boostable', 'Goldbely', 'Sponsorfied', 'Vayable', 'Science Exchange', 'CarWoo', 'AirBnb', 'Foodoro', 'InklingMarkets']"
on-demand,"['Castle', 'AirPair', 'Cambly']"
data,"['Pawprint', 'VQL', 'Birdly', 'Elucify', 'Index', 'Pave', 'Zenysis', 'Leada', 'Second Measure', 'Verge Genomics', 'CloudMedX', 'DroneBase', 'Kuhcoon', 'Pachyderm', 'Pomello', 'TaskPipes', 'Valor Water Analytics', 'Yhat', 'Bayes Impact', 'Flynn', 'Nightingale', 'One Codex', 'TicketLabs', '42', 'TrueVault', 'Panorama Education', 'Fivetran', 'Semantics3', 'Zapier', 'Citus Data', 'Comprehend Systems', 'MemSQL', 'AeroFS', 'Chart.io', 'Leftronic', 'DirectedEdge', 'Frogmetrics', 'FathomDB', 'Cloudant', 'Songkick', 'Clustrix']"
virtual reality,"['Ilium VR', 'Queen B Robotics', 'InsiteVR']"
robots,"['Gecko Robotics', 'Bistrobot']"
diagnostics,[]
payments,"['Paystack', 'Truebill', 'Tesorio', 'Razorpay', 'Swish', 'Submittable', 'Stripe', 'WePay']"
automated,"['Captain 401', 'Ironclad', 'Kuhcoon', 'Transcriptic']"
chatbot,"['Chatfuel', 'Message.io']"
analytics,"['Deepgram', 'GitPrime', 'Mux', 'Skymind', 'Piinpoint', 'Panorama Education', 'PageLever', 'Segment', 'Mixpanel']"
health,"['SmartSite', 'CareSkore', 'PhysioHealth', 'Bodyport', 'Klarismo', 'CareMessage', 'Noora Health', 'TrueVault', 'Zesty', 'CrowdMed', 'Medisas', 'SimplyInsured']"
labs,['OpenTrons']
mission,"['Compgun', 'Petcube', 'Bonfire', 'Rigetti Computing', 'UPower', 'Heap Analytics', 'Submittable', 'EveryArt', 'LendUp', 'CO2Stats']"
app,"['ConstructVR', 'Instabug', 'Mindori', 'QueueHop', 'Rappi', 'SendBird', 'Thunkable', 'UpLabs', 'Wakie', 'AppCanary', 'Breakout Room', 'Cloudstitch', 'Convox', 'Plate Joy', 'Smyte', 'SourceDNA', 'TenantTurner', 'Zeplin', 'GroupAhead', 'Moltin', 'Notable Labs', 'Outbound', 'Pomello', 'Shift Messenger', 'Slidemail', 'Spoil', 'Treeline', 'WorkLife', 'Flynn', 'Helion Energy', 'One Codex', 'Algolia', 'Sendwithus', 'TrueVault', 'Two Tap', 'EasyPost', 'Estimote', 'Lob', 'One Month', 'StatusPage', 'Watchsend', 'Bitnami', 'Heap Analytics', 'Lollipuff', 'StyleUp', 'Authy', 'Canopy Labs', 'Clever', 'Filepicker.io', 'Lever', 'Parallel Universe', 'Virool', 'Zapier', 'FarmLogs', 'Per Vices', 'Sonalight', 'Swiftype', 'chute', 'AgileDiagnosis', 'Meteor', 'Streak.com', 'Zigfu', 'Custora', 'Hyperink', 'Kaleidoscope', 'Brushes', 'Leftronic', 'Mixpanel', 'Adioso', 'Heyzap', 'Addmired', 'YumDots', 'Bountii', 'Tsumobi']"
best,"['Afrostream', 'Instawork', 'VIVE', 'Willing', 'Gradberry', 'Instavest', 'Labdoor', 'Luka', 'Flynn', 'HauteDay', 'Lawn Love', 'ProductHunt', 'Camperoo', 'Minuum', 'Piinpoint', 'Zinc', 'Casetext', 'StatusPage', 'Goldbely', 'Svbtle', 'Newsblur', 'Tracks.by', 'Opez', 'ZeroCater', 'AnyList', 'PollEverywhere', 'Startuply', 'Bountii']"
developers,"['Mux', 'SendBird', 'UpLabs', 'Heroic Labs', 'SourceDNA', 'Algolia', 'CodeNow', 'EasyPost', 'Fullstack Academy', 'Coderwall', 'Per Vices', 'MobileWorks', 'Segment']"
build,"['Acre Designs', 'Focal Systems', 'Hingeto', 'Hykso', 'Mindori', 'OpenTrons', 'SendBird', 'Skymind', 'Stealth Worker', 'UpLabs', 'Zenysis', 'msg.ai', 'InnerSpace', 'Mimir', 'Triplebyte', 'Vest', 'Moltin', 'Raven Tech', 'ShiftLabs', 'Vertical', 'Rigetti Computing', 'One Month', 'CircuitLab', 'BoostedBoards', 'Canopy Labs', 'Healthy Labs', 'Plivo', 'Swiftype', 'Meteor', 'Upverter']"
new,"['MagicBus', 'Instant eSports', 'Scentbird', 'Traversal Networks', 'Triplebyte', 'teaBOT', 'Booktrope', 'Priime', 'Transitmix', 'Zenflow', 'HauteDay', 'ProductHunt', 'Gbatteries', 'StackLead', 'Svbtle', 'LightTable', 'Survata', 'Tracks.by', 'Ark', 'Dealupa', 'Verbling', 'Giftrocket', 'OwnLocal', 'Zenedy', 'CarWoo', 'TheSixtyOne', 'Addmired']"
free,"['Pramp', 'The Flex Company', 'Clearbanc', 'Bonsai', 'Elucify', 'Konsus', 'CareLedger', 'Paribus', 'Willing', 'Xendit', 'Carlypso', 'UPower', 'Immunity Project', 'Sendwithus', 'Lawdingo', 'Diaspora', 'TomoGuides', 'MineFold', 'Vimessa', 'The Recurse Center', 'Listia', 'Anyvite']"
open,"['MailTime', 'SHRI', 'SIRUM', 'Meteor', 'Insoshi']"
the world,"['Branch8', 'Shotput', 'Diassess', 'Instavest', 'Spoil', 'Rigetti Computing', 'Next Caller', 'Taplytics', 'CrowdMed', 'BoostedBoards', 'Double Robotics', 'LeanMarket', 'iCracked', 'Vimessa', 'Kaleidoscope', 'AirBnb', 'Startuply']"
drones,[]
blockchain,['TradeBlock']
biology,"['20n', 'Industrial Microbes', 'Transcriptic', 'Ginko Bioworks']"
mobile,"['Deako', 'Instabug', 'MailTime', 'Mason America', 'QueueHop', 'SendBird', 'Thunkable', 'Breakout Room', 'GroupAhead', 'Outbound', 'WorkLife', 'Roost', 'Taplytics', 'ZowPow', 'Strikingly', 'Swish', 'Airbrite', 'Filepicker.io', 'Mth Sense', 'Virool', 'DoubleRecall', 'Mixpanel', 'AirBnb', 'Heyzap', 'PollEverywhere', 'Addmired', 'YumDots', 'Tsumobi']"
online,"['DNAsimple', 'Goodybag', 'Podium', 'Sharethebus', 'Chaldal', 'Paribus', 'RedCarpetUp', 'Willing', 'Xfers', 'Techlist', 'Zidisha', 'CrowdMed', 'Goldbely', 'Lawdingo', 'Lollipuff', 'Watsi', '9GAG', 'Diaspora', 'FundersClub', 'MyVR', 'Sponsorfied', 'Vayable', 'Crowdtilt', 'Shoptiques', 'DoubleRecall', 'Quartzy', 'Science Exchange', 'SellStage', 'Vidyard', 'Curebit', 'Custora', 'HelloFax', 'Humble Bundle', 'Tutorspree', 'YouGotListings', 'Crowdbooster', 'ReadyForZero', 'Stripe', 'OwnLocal', 'CarWoo', 'Jobspice', 'WePay', 'AirBnb', 'Ididwork', 'Justin.tv', 'Songkick', 'ClickFacts']"
video,"['Pluot Communications', 'New Story Charity', 'Shred Video', 'DroneBase', 'Kickback', 'AirPair', 'Knowmia', 'QuicklyChat', 'ReelSurfer', 'Tracks.by', 'Virool', 'HireArt', 'SellStage', 'Verbling', 'Vidyard', 'Vimessa', 'Justin.tv']"
social network,"['Amicus', 'Addmired']"
